FirstName,LastName,Birthdate,MailingPostalCode,Phone,Email,Barcode
Benjamin,Pierce,4/1/1989,98121,206-555-1111,hawkeye@mash.org,1111
John,McIntyre,5/6/1987,98121,206-555-1112,trapper@mash.org,1112
Henry,Blake,1/23/1977,98134,206-555-1113,flyfisherman@mash.org,1113
Frank,Burns,3/15/1982,98146,206-555-1114,ferretface@mash.org,1114
Margaret,Houlihan,2/14/1986,98136,206-555-1115,hotlips@mash.org,1115
Ginger,Bayliss,11/11/1989,98146,206-555-1116,ginger@mash.org,1116
Sidney,Friedman,9/23/1974,98109,206-555-1117,armyshrink@mash.org,1117
Maxwell,Klinger,5/28/1991,98118,206-555-1118,klinger@mash.org,1118
Walter,OReilly,8/31/1998,98124,206-555-1119,radar@mash.org,1119
Margie,Cutler,2/27/1995,98125,206-555-1120,margie@mash.org,1120
Igor,Straminsky,10/31/1996,98118,206-555-1121,igor@mash.org,1121
John,Mulcahey,12/25/1981,98121,206-555-1122,padre@mash.org,1122
Zelmo,Zale,6/30/1973,98125,206-555-1123,zale@mash.org,1123
Sherman,Potter,11/24/1954,98116,206-555-1124,sherm@mash.org,1124
Sam,Flagg,1/25/1984,98119,206-555-1125,flagg@mash.org,1125
Charles,Winchester,4/29/1981,98116,206-555-1126,backbayblueblood@mash.org,1126
BJ,Hunnicut,6/5/1987,98136,206-555-1127,bj@mash.org,1127
Enid,Bigelow,11/5/1990,98121,206-555-1128,fudgebowl@mash.org,1128
Kellye,Nakahara,12/12/1990,98122,206-555-1129,kellye@mash.org,1129
Lillian,Rayburn,5/11/1956,98115,206-55-1130,lil@mash.org,1130
